央视,#genre#
CCTV16,http://223.105.252.59/PLTV/4/224/3221228314/index.m3u8?servicetype=1
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225949/index.m3u8?
CCTV17,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225706/index.m3u8?
CCTV4K超高清,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1
CCTV8K超高清,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1
求索科学,http://gslbserv.itv.cmvideo.cn:80/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索纪录,http://gslbserv.itv.cmvideo.cn:80/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索动物,http://gslbserv.itv.cmvideo.cn:80/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索生活,http://gslbserv.itv.cmvideo.cn:80/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
CCTV世界地理,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8
CCTV兵器科技,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226975/1.m3u8
CCTV第一剧场,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8
CCTV风云剧场,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226950/1.m3u8
CCTV怀旧剧场,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226972/1.m3u8
CCTV风云音乐,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226953/1.m3u8
CCTV央视文化精品,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8
CCTV电视指南,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226987/1.m3u8
发现之旅,http://223.10.33.72:8084/udp/239.1.1.103:8103
老故事,http://223.10.33.72:8084/udp/239.1.1.87:8087
书画频道,http://223.10.33.72:8084/udp/239.1.1.88:8088
中国天气,http://39.134.136.161:6610/000000001000/5000000005000031974/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000005000031974
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中国教育1,http://39.134.136.161:6610/000000001000/5000000002000002652/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000002652
中国教育2,http://39.134.136.161:6610/000000001000/1000000005000266004/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266004
中国教育2,http://39.135.189.199/sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225813/index.m3u8?
中国教育4,http://39.134.136.161:6610/000000001000/5000000011000031126/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031126
中国教育4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CHC高清电影,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
http:///rtp/226.0.2.240:9820
CHC家庭影院,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
http://171.120.109.82:8082/rtp/226.0.2.93:8004
CHC动作电影,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
http://171.120.109.82:8082/rtp/226.0.2.94:8012
卫视,#genre#
http://118.112.148.14:58888/udp/239.93.0.162:2192
凤凰中文,https://ali.hlspull.yximgs.com/live/diyp_fh2.flv
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
http://118.112.148.14:58888/udp/239.93.0.118:2191
凤凰资讯,https://ali.hlspull.yximgs.com/live/diyp_fh1.flv
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
湖南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226226/index.m3u8?
湖南卫视,http://gslbserv.itv.cmvideo.cn:80/6000000001000018044/index.m3u8?channel-id=wasusyt&Contentid=6000000001000018044&livemode=1&stbId=3
江苏卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226223/index.m3u8?
东方卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225780/index.m3u8?
北京卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225977/index.m3u8?
天津卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226001/index.m3u8?
山东卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225995/index.m3u8?
安徽卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225709/index.m3u8?
东南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225712/index.m3u8?
东南卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
广东卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225983/index.m3u8?
深圳卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225739/index.m3u8?
浙江卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226029/index.m3u8?
江西卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225721/index.m3u8?
江西卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
山西卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226150/index.m3u8?
陕西卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025561103.m3u8
陕西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010047/1.m3u8
陕西卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225807/index.m3u8?
湖北卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225989/index.m3u8?
河北卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225715/index.m3u8?
河北卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225986/index.m3u8?
河南卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
辽宁卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225998/index.m3u8?
四川卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225742/index.m3u8?
四川卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225804/index.m3u8?
黑龙江卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225718/index.m3u8?
吉林卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226019/index.m3u8?
广西卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225786/index.m3u8?
内蒙古卫视,http://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680
内蒙古卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225801/index.m3u8?
云南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226007/index.m3u8?
贵州卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225980/index.m3u8?
青海卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225992/index.m3u8?
海南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225816/index.m3u8?
甘肃卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225783/index.m3u8?
宁夏卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225798/index.m3u8?
宁夏卫视,http://39.135.135.10/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
新疆卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225810/index.m3u8?
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
西藏卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226016/index.m3u8?
http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
兵团卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225751/index.m3u8?
三沙卫视,http://39.134.136.161:6610/000000001000/5000000011000288016/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000288016
http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000331/index.m3u8?IASHttpSessionId=
山东教育,http://39.134.136.161:6610/000000001000/7341476808603780321/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=7341476808603780321
厦门卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225754/index.m3u8?
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
金鹰卡通,http://39.134.136.161:6610/000000001000/5000000006000040024/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000006000040024
http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000006000040024/1.m3u8
卡酷少儿,http://39.134.136.161:6610/000000001000/7851974109718180595/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=7851974109718180595
哈哈炫动,http://39.134.136.161:6610/000000001000/5000000005000031641/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT3160320241202025620152228&channel-id=bestzb&Contentid=5000000005000031641
优漫卡通,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225736/1.m3u8
嘉佳卡通,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225819/1.m3u8
地方,#genre#
山西社会与法治,http://116.179.130.148:6000/rtp/226.0.2.238:9816
山西黄河,http://183.188.159.128:6000/rtp/226.0.2.235:9792
山西经济与科技,http://183.188.159.128:6000/rtp/226.0.2.236:9800
山西影视,http://183.188.159.128:6000/rtp/226.0.2.237:9808
山西文体生活,http://183.188.159.128:6000/rtp/226.0.2.16:8040
太原新闻,http://183.188.159.128:6000/rtp/226.0.2.201:9520
太原百姓,http://183.188.159.128:6000/rtp/226.0.2.202:9528
太原社教法治,http://183.188.159.128:6000/rtp/226.0.2.203:9536
太原影视,http://183.188.159.128:6000/rtp/226.0.2.204:9544
太原文体,http://183.188.159.128:6000/rtp/226.0.2.205:9552
太原教育,http://183.188.159.128:6000/rtp/226.0.2.206:9560
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
